# Name of the products
Beans,123456789001
Rice,123456789002
Pasta,123456789003
SoybeanOil,123456789004
Milk,123456789005
Coffee,123456789006
Sugar,123456789007
WheatFlour,123456789008
Salt,123456789009
Meat,123456789010
Chicken,123456789011
Fish,123456789012
Eggs,123456789013
Cheese,123456789014
Butter,123456789015
Bread,123456789016
TomatoSauce,123456789017
Cereal,123456789018
Potato,123456789019
Carrot,123456789020
Tomato,123456789021
Onion,123456789022
Garlic,123456789023
Apple,123456789024
Banana,123456789025
Orange,123456789026
Strawberry,123456789027
Pineapple,123456789028
Grape,123456789029
Watermelon,123456789030
Corn,123456789031
Pea,123456789032
Beet,123456789033
Pumpkin,123456789034
Kale,123456789035
Lettuce,123456789036
Spinach,123456789037
Cucumber,123456789038
Broccoli,123456789039
Cabbage,123456789040
SweetPotato,123456789041
Cassava,123456789042
Yam,123456789043
Cashew,123456789044
Guava,123456789045
Papaya,123456789046
Avocado,123456789047
Mango,123456789048
Peach,123456789049
Kiwi,123456789050
